Company_Name,Dependent-Company Status,year of founding,Age of company in years,Internet Activity Score,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Legal risk and intellectual property,Client Reputation,google page rank of company website,Technical proficiencies to analyse and interpret unstructured data,Solutions offered,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Gartner hype cycle stage,Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
Company34,Success,2011,3,68,Social Media ROI Measurment,Advertising,Social Media optimization,Vaidya Capital Partners|[212]Media,9,13,yes,11/1/2011,1/1/2013,2000000,United States,North America,No Info,No Info,3,0,4,8,No,0,Nothing,No,Medium,Yes,No,No,No,Service,Yes,Both,No,Both,Yes,Platform,Global,Non-Linear,No,No Info,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Online,B2B,None,Medium,No,Low,Bachelors,18,FALSE,Yes,Yes,None,500,Low,0,0,0,Medium,116,Few,14,Low,Low,No,No,Medium,Bad,No,No,No,No,No,No,No Info,1024425,No,No,No,2,Low,0,4,2,Not Applicable,14,No Info,Plateau,0 to 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Company36,Success,2012,2,75,,Marketing|Email,Marketing,Grotech Ventures|Access Venture Partners|FFP Holdings|TechStars,14,0,yes,1/1/2012,5/24/2013,2870890,United States,North America,0,3,2,6,4,13,No,0,medium,No,Medium,No,No,No,No,Service,Yes,Public,Yes,Structured,Yes,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Offline,B2B,Low,High,No,Medium,Bachelors,18,Arts,No,Yes,None,500,High,1,1,1,Medium,61,Many,45,Medium,Medium,Yes,No,Medium,Good,Yes,Yes,Yes,Yes,No,No,High,1951415,No,No,Yes,4,Medium,0,13,2.87089,Not Applicable,7,5.033333333,Peak,2 to 5,16.66666667,11.11111111,0,11.11111111,11.11111111,0,27.77777778,0,5.555555556,0,0,0,11.11111111,5.555555556,0
Company37,Success,2012,2,140,Secure NoSQL Database,Analytics|Security|Network / Hosting / Infrastructure,Database Management,Matrix Partners|Atlas Venture,26,13,yes,8/1/2012,10/21/2013,5200000,United States,North America,0,0,4,4,4,30,Yes,2,high,No,Medium,No,No,No,No,Service,Yes,Private,Yes,Structured,No,Platform,Global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,No,Offline,B2B,Low,High,Yes,Medium,Bachelors,18,bseet,Yes,Yes,Tier_2,500,None,0,0,0,None,0,None,21,Medium,High,No,No,Medium,No Info,No,No,Yes,No,No,No,No Info,912860,No,Yes,No,4,Medium,0,30,5.2,Not Applicable,1,7.116666667,Peak,2 to 5,11.11111111,11.11111111,30.55555556,0,8.333333333,2.777777778,11.11111111,8.333333333,11.11111111,2.777777778,0,0,0,2.777777778,3
Company38,Success,2012,2,46,SaaS Job Marketing Platform,Human Resources (HR)|Marketing|Career / Job Search,operations,TechColumbus|Founders Factory,6,20,Yes,2/1/2012,8/7/2012,70000,United States,North America,4,0,2,3,2,4,No Info,1,low,No,Small,Yes,Yes,No,No,Product,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,Few,No,No,No,No,No,Yes,No,Yes,No,No,Online,B2B,Low,Medium,No,Low,Masters,21,Business management,Yes,Yes,None,500,None,0,0,0,High,7,None,19,Low,Medium,No,No,High,No Info,Yes,Yes,Yes,No,No,Yes,High,2439989,No,Yes,Yes,4,High,0,4,0.07,Not Applicable,No Info,1,Peak,2 to 5,11.76470588,2.941176471,11.76470588,8.823529412,0,2.941176471,2.941176471,0,2.941176471,2.941176471,0,0,0,2.941176471,4
Company39,Success,2010,4,33,Health Care Analytics,Cloud Computing|Healthcare|E-Commerce,technology,Allan Zeise|Thomas Shannon|Allen Zeise|Wisconsin Investment Partners|Silicon Pastures|Thomas Vincent|Ross Bjella|David Lisle|Ed Karrels|Jeff Harris|Tom DeMell|Thomas DeMell|Jeffery Harris|Michael Kluiber|Peter Skanaivs|Andy Wojack|Crista Wojack|Eric Kessenich|John Schmidt|Angels on the Water,13,0,yes,6/4/2010,3/29/2013,1000000,United States,North America,24,0,2,0,4,10,No Info,4,low,No,Medium,No,No,No,No,Service,No,Private,Yes,Structured,Yes,Platform,local,Non-Linear,No,None,No,No,No,No,No,Yes,Yes,No,No,No,Online,B2B,Low,High,No,Medium,Bachelors,18,arts,No,Yes,None,500,None,0,0,0,None,1,None,13,Low,High,No,No,Medium,No Info,No,No,No,No,No,No,Low,3792883,No,Yes,No,4,High,3,3.3,1,Not Applicable,4,9.822222222,Plateau,0 to 2,7.142857143,14.28571429,7.142857143,0,7.142857143,0,14.28571429,7.142857143,14.28571429,14.28571429,0,0,7.142857143,7.142857143,0
Company40,Success,2010,4,56,Shaking Up Publishing,Media|Analytics|Publishing|Mobile|Education,Analytics,EA Media Syndicate I LLC|Glen Surnamer|Jeff Schweiger,7,0,No,10/1/2010,10/23/2012,450000,United States,North America,3,0,5,0,5,10,No,0,medium,Yes,Small,No,No,No,No,Service,Yes,Public,Yes,Structured,Yes,Platform,Global,Non-Linear,No,None,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,electrical,Yes,Yes,None,500,Medium,1,1,0,None,245,None,13,Medium,Medium,Yes,No,Low,Average,No,No,No,No,No,No,Low,4518529,Yes,Yes,No,3,High,3,2,0.45,Not Applicable,12,14,Slope,2 to 5,8.225957049,3.333333333,5.93837535,39.37791783,10.52170868,4.761904762,11.83706816,1.111111111,3.333333333,4.892623716,0,1.111111111,4.444444444,1.111111111,5
Company43,Success,2011,3,374,Global multimedia content platform,,Operations,Amit Singh,57,-3,Yes,4/1/2011,8/1/2010,60000,United States,North America,1,0,0,8,3,57,No,0,medium,No,Medium,No,No,No,No,Service,Yes,Public,No,Unstructured,No,Platform,Global,Linear,No,None,No,No,Yes,No,No,Yes,No,No,No,No,Online,B2C,None,High,Yes,Medium,Masters,21,"finance, startegy and enterpreneurship",Yes,Yes,Tier_1,500,Low,1,0,0,High,439,Few,25,Low,Medium,Yes,No,Low,Very Good,Yes,No,No,No,No,No,No Info,No Info,No,No,Yes,2,High,3,28.5,0.06,Not Applicable,10,12,Plateau,0 to 2,16.66666667,0,0,5.555555556,16.66666667,5.555555556,38.88888889,0,0,16.66666667,0,0,0,0,2
Company44,Success,2008,6,40,Smart Suggestions for Sales Reps,,Sales,Starfish Ventures,12,0,Yes,1/1/2008,7/8/2013,2517424,United States,North America,0,0,3,0,6,50,No Info,1,low,No,Small,No,No,No,Yes,Product,Yes,Private,Yes,Structured,Yes,Cloud,global,Non-Linear,No,Few,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Low,High,Yes,High,Masters,21,Business management,Yes,Yes,Tier_1,500,Medium,0,0,0,None,1,None,25,Medium,High,Yes,No,Medium,No Info,No,No,No,Yes,No,No,Low,2607547,No,Yes,No,4,High,0,10,2.517424,Yes,36,4,Trigger,5 to 10,6.25,0,0,6.25,6.25,0,18.75,6.25,0,0,0,0,0,6.25,9
Company46,Success,2010,4,-24,,,technology,Sierra Ventures|AME Cloud Ventures|Columbus Nova Technology Partners|Streamlined Ventures,25,,yes,1/1/2010,7/30/2013,1750000,United States,North America,0,0,4,10,6,23,No Info,0,Nothing,No,Small,Yes,Yes,No,No,Product,No,Private,Yes,Structured,Yes,cloud,global,Non-Linear,No,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Low,PhD,25,engg,No,No,Tier_1,500,None,0,0,0,None,0,None,12,Low,High,Yes,No,Medium,No Info,No,No,Yes,No,No,No,Low,1810474,Yes,Yes,No,4,High,0,7.6,1.75,Not Applicable,15,7,Trigger,2 to 5,18.18181818,0,36.36363636,0,0,18.18181818,0,0,0,27.27272727,0,0,0,0,2
Company47,Success,2011,3,295,,Analytics|Enterprise Software,technology,Defense Advanced Research Projects Agency,35,0,yes,1/1/2011,2/5/2013,3000000,United States,North America,0,1,2,2,2,32,No Info,0,high,No,Medium,No,No,No,No,Product,Yes,Private,No,Structured,Yes,Platform,global,Non-Linear,No,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Medium,PhD,25,bio engg,No,No,None,500,Medium,0,0,0,None,1,None,25,Medium,High,Yes,No,Medium,No Info,No,No,Yes,No,No,No,High,221783,Yes,Yes,No,4,High,0,16,3,Not Applicable,16,3,,,0,0,64.70588235,0,0,26.47058824,5.882352941,2.941176471,0,0,0,0,0,0,6
Company48,Success,2003,11,111,"Analytics, e-commerce, Consumer Finance",,Risk,Crystal Financial|Crosslink Capital|QED Investors,267,0,yes,12/1/2003,7/29/2013,30000000,United States,North America,No Info,No Info,2,13,14,300,No Info,0,low,No,Medium,Yes,Yes,No,No,Product,No,Private,Yes,Structured,No,Platform,global,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2C,Low,High,Yes,Medium,Bachelors,18,Business management,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,None,25,Medium,Medium,No,No,Medium,Good,No,No,Yes,No,No,No,Medium,1089377,No,Yes,No,4,High,0,30,30,Yes,72,24,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company49,Success,2000,14,160,"Predictive Analytics, Advanced Analytics",Analytics,operations,TA Associates,594,3,yes,1/1/2000,6/24/2013,25000000,United States,North America,No Info,No Info,2,0,9,616,No Info,0,high,No,Large,No,No,No,No,Service,Yes,Private,Yes,Structured,Yes,Platform,global,Non-Linear,No,Few,No,No,No,Yes,No,Yes,Yes,No,No,No,Offline,B2B,Low,High,Yes,High,Bachelors,18,Business management,Yes,Yes,Tier_1,500,High,0,0,0,High,9,None,51.5,High,High,No,No,Low,Bad,Yes,No,No,Yes,No,No,High,213086,Yes,Yes,No,3,Medium,0,47.38,25,Yes,156,156,,,0,2.631578947,5.263157895,5.555555556,13.15789474,43.2748538,19.15204678,0,5.555555556,0,0,5.409356725,0,0,1
Company51,Success,2011,3,805,Connected data for marketers & ecommerce,E-Commerce|Analytics,"Marketing, Web Analytics",Battery Ventures|Wellington Partners|General Catalyst Partners|Silicon Valley Bank,23,0,yes,5/6/2011,12/3/2013,4000000,United States,North America,0,3,2,1,3,28,Yes,2,high,No,Medium,Yes,Yes,No,No,Service,Yes,Both,No,Both,Yes,Cloud,Global,Non-Linear,No,Many,No,No,No,No,No,No,Yes,No,No,Yes,Online,B2B,Medium,High,Yes,Medium,Bachelors,18,,No Info,Yes,Tier_1,500,Medium,0,0,0,None,0,None,25,Low,Low,Yes,No,Low,No Info,No,No,No,No,No,No,High,11967,No,Yes,No,4,High,0,14,4,Not Applicable,13,4.583333333,Plateau,0 to 2,17.64705882,0,5.882352941,29.41176471,0,11.76470588,11.76470588,5.882352941,0,17.64705882,0,0,0,0,3
Company52,Success,2009,5,-129,Customer Data-Powered Marketing,E-Commerce|Advertising|Analytics,Marketing,SV Angel|Harrison Metal Capital|Baseline Ventures|Greylock Partners|Dick Costolo|Reid Hoffman|Jeff Jordan|Harrison Metal|Bain Capital Ventures,50,0,yes,7/1/2009,6/13/2011,13000000,United States,North America,0,0,2,2,4,55,Yes,3,medium,Yes,Large,Yes,Yes,No,No,Both,No,Private,Yes,Structured,No,Platform,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Offline,B2B,Medium,High,Yes,Medium,Bachelors,18,economics,Yes,Yes,Tier_1,500,Medium,1,1,1,None,0,None,14,Low,Medium,Yes,No,Low,No Info,No,No,Yes,No,No,No,High,169460,Yes,Yes,No,4,High,0,13.75,13,Not Applicable,1,7.733333333,Trough,2 to 5,22.22222222,0,0,22.22222222,0,11.11111111,22.22222222,11.11111111,0,11.11111111,0,0,0,0,0
Company53,Success,2009,5,416,,Enterprise Software,"Strategy, Operations, Finacial Planning",Greylock Partners|Andreessen Horowitz|Redpoint Ventures|Tenaya Capital,,,yes,1/1/2009,12/27/2013,1070901,United States,North America,0,0,3,5,7,115,Yes,4,high,No,Large,No,No,Yes,No,Both,Yes,Private,No,Structured,Yes,Cloud,Global,Non-Linear,No,None,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,High,Masters,21,Computer Science,Yes,Yes,None,500,High,0,0,0,Medium,100,Many,44,High,Medium,Yes,No,Medium,No Info,Yes,No,No,Yes,No,No,High,447301,No,No,No,3,Medium,0,28.75,1.070901,Not Applicable,20,4.9,,,8.660130719,8.333333333,28.75816993,5.555555556,5.718954248,17.15686275,17.32026144,2.777777778,0,5.718954248,0,0,0,0,9
Company55,Success,2012,2,888,Enterprise Marketing Intelligence,,Marketing,Sean Glass|Hemang Gadhia|Adam Riggs|Roger Krakoff|Tony Ayaz|Marc Solomon|Acceleprise Ventures|Andy Klingenstein|Adam Falla|Bowery Capital|New Enterprise Associates,38,23,yes,9/1/2012,2/4/2014,6500000,United States,North America,10,0,1,3,4,40,Yes,2,high,No,Medium,No,No,No,No,Service,Yes,Both,No,Both,Yes,Platform,Global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,Yes,Online,B2B,Low,Medium,No,Low,Bachelors,18,Political Science,No,No,None,500,Low,0,0,0,Medium,79,Few,0,Medium,Medium,Yes,No,Medium,No Info,No,Yes,No,Yes,No,No,High,86394,Yes,No,Yes,3,High,0,40,6.5,Not Applicable,8,4.183333333,Peak,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Company58,Success,2012,2,272,Know and Grow Your Audience,Analytics|Advertising|Cloud Computing|Marketing,marketing,Square 1 Bank|High Line Venture Partners|SV Angel|Allen Debevoise|Matt Coffin|Paul Bricault|Jonah Goodhart|Dean Gilbert|Tony Nethercutt|FirstMark Capital|Ben Ling|Lerer Ventures,24,0,No,4/17/2012,6/25/2013,1000000,United States,North America,1,0,2,2,4,15,No,0,medium,Yes,Small,Yes,Yes,No,Yes,Product,No,Both,Yes,Unstructured,No,Platform,global,Linear,Yes,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,general mangement,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,None,25,Medium,Medium,Yes,No,Low,No Info,No,No,Yes,No,No,No,Medium,282991,Yes,Yes,No,3,High,0,15,1,Not Applicable,7,4.716666667,Plateau,0 to 2,11.11111111,0,0,44.44444444,11.11111111,5.555555556,11.11111111,5.555555556,5.555555556,0,0,0,0,5.555555556,0
Company60,Success,2012,2,124,Software-as-a-Service (SaaS) platform,Analytics|Network / Hosting / Infrastructure,analytics,CIT GAP Funds|Jaffray Woodriff|Battery Ventures,13,0,No,1/1/2012,8/7/2013,2000000,United States,North America,2,1,2,0,2,14,No,0,high,No,Medium,No,No,No,Yes,Product,No,no,Yes,Structured,Yes,Platform,local,Non-Linear,No,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Low,Bachelors,18,computer science,Yes,Yes,Tier_2,500,None,0,0,0,None,4,Few,17,High,Medium,Yes,No,Low,No Info,No,No,No,No,No,No,High,754828,No,No,No,3,Medium,0,14,2,Not Applicable,1,3.322222222,Peak,2 to 5,5.555555556,0,2.777777778,11.11111111,2.777777778,5.555555556,11.11111111,0,5.555555556,0,0,0,5.555555556,0,6
Company61,Success,2009,5,409,The ﬁnancial terminal of the web.,Finance,analytics,Hyde Park Angels|I2A Fund|Amicus Capital|Social Leverage|Morningstar|Reed Elsevier Ventures,22,-4,yes,1/1/2009,5/9/2013,3900000,United States,North America,0,0,2,0,2,50,No,2,medium,Yes,Large,No,No,No,Yes,Product,No,Both,No,Both,Yes,Platform,global,Non-Linear,Yes,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Medium,High,No,Medium,Bachelors,18,science,Yes,Yes,Tier_1,500,Medium,1,1,1,None,0,None,20,Low,Low,Yes,Yes,Low,No Info,No,No,Yes,No,No,No,Low,28597,No,No,No,3,Medium,0,12.5,3.9,Not Applicable,14,12.74444444,Trough,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Company62,Success,2012,2,51,Data visualization system,Mobile|Analytics,analytics,Razor's Edge Ventures|CIT GAP Funds|B7inc|B7inc Peter Thorp|Columbus Nova Technology Partners|Hemang Gadhia|Center for Innovative Technology|Sean Glass|Jay Virdy|Magid Abraham|Tony Ayaz|Neil Kataria|Terry Hsiao|Chris McGill|Russ Cosentino|Peter Thorp,,,yes,1/1/2012,7/10/2013,4100000,United States,North America,10,0,2,1,4,18,No,0,low,No,Small,Yes,Yes,No,Yes,Service,No,Both,No,Structured,No,Platform,global,Linear,No,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,21,sb,Yes,Yes,Tier_1,500,Medium,0,0,0,None,0,None,25,Low,Low,No,No,Low,No Info,No,No,No,No,No,No,Low,761094,No,No,No,3,Medium,0,18,4.1,Not Applicable,10,3.983333333,Peak,2 to 5,5.555555556,0,50,5.555555556,0,11.11111111,16.66666667,5.555555556,0,5.555555556,0,0,0,0,0
Company91,Success,2010,4,-13,Enterprise social network,Social Networking,data visualization,Cantabria Capital,6,,No,3/1/2010,3/1/2010,1700000,United States,North America,0,0,0,0,6,10,No,0,low,Yes,Small,Yes,Yes,No,No,Service,Yes,Both,Yes,Structured,No,Both,global,Non-Linear,No,None,No,No,No,No,No,No,Yes,Yes,No,No,Online,B2C,None,High,Yes,Medium,Masters,21,INDUSTRI,No,No,Tier_1,500,Medium,0,0,0,None,180,None,10,Low,Medium,No,Yes,Medium,Average,Yes,Yes,No,Yes,No,No,Low,7355795,Yes,Yes,Yes,3,Medium,6,3.3,1.7,Not Applicable,3,1,Trigger,2 to 5,21.42857143,0,7.142857143,14.28571429,0,7.142857143,28.57142857,0,0,7.142857143,0,0,0,14.28571429,1
Company92,Success,2011,3,293,Healthcare transformation.,Healthcare,analytics,RPM Ventures|Arboretum Ventures|Wolverine Venture Fund|Renaissance Venture Capital Fund|Detroit Innovate,28,4,yes,1/1/2011,2/10/2014,1300000,United States,North America,0,0,0,0,12,50,No,0,medium,No,Large,Yes,Yes,No,No,Product,No,Both,Yes,Structured,No,none,global,Linear,No,None,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Offline,B2B,None,Medium,No,Medium,PhD,25,Medicine,Yes,Yes,Tier_1,500,High,0,1,0,High,0,Many,0,High,Medium,No,No,Medium,Bad,No,Yes,No,No,Yes,Yes,No Info,No Info,Yes,No,No,2,Low,7,25,1.3,Not Applicable,18,9,Peak,2 to 5,5.555555556,5.555555556,22.22222222,5.555555556,11.11111111,0,22.22222222,11.11111111,11.11111111,5.555555556,0,0,0,0,3
Company93,Success,2010,4,126,Competitions for startups,E-Commerce|Mobile,service,Voyager Capital|VegasTechFund|Lars-Henrik Friis Molin|Amicus Group|Kolind A/S,25,-4,yes,7/7/2010,3/1/2014,1100000,United States,North America,0,4,3,2,8,28,No,0,medium,No,Small,Yes,Yes,No,No,Service,No,no,No,not applicable,No,Cloud,local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,Yes,Offline,B2B,Low,High,Yes,Medium,Masters,21,Biology,No,Yes,Tier_1,500,Medium,0,1,0,Medium,1,Many,19,Medium,Medium,No,No,Low,No Info,Yes,No,No,Yes,No,No,Low,46550,No,Yes,No,3,Low,0,9.3,1.1,Not Applicable,45,45,,,23.07692308,7.692307692,23.07692308,0,0,0,7.692307692,15.38461538,7.692307692,7.692307692,0,0,0,7.692307692,3
Company95,Success,2002,12,123,predictive solutions,Analytics,analytics,Appian Ventures|Core Capital Partners|QED Investors,31,0,No,1/1/2002,9/7/2011,7500000,United States,North America,0,2,0,0,2,50,No Info,0,medium,No,Large,Yes,Yes,Yes,Yes,Service,Yes,Both,Yes,Structured,No,Platform,Local,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,No,Offline,B2B,Low,High,No,Medium,Masters,21,Business,Yes,Yes,Tier_2,500,High,1,0,0,Medium,1,None,24,High,Medium,Yes,No,Low,No Info,No,Yes,No,No,No,No,Low,2584435,Yes,Yes,No,3,Low,0,4.5,7.5,Yes,65,15.48888889,,,13.33333333,6.666666667,0,0,6.666666667,20,26.66666667,0,6.666666667,13.33333333,0,0,0,6.666666667,4
Company107,Success,2008,6,98,Food Label Data Analysis,Network / Hosting / Infrastructure|Food & Beverages|Analytics,operation,Capital Innovators|Cultivation Capital,12,9,No,1/1/2008,4/5/2013,100000,United States,North America,3,0,3,2,5,20,No,1,medium,No,Small,Yes,Yes,No,No,Service,Yes,Private,Yes,Structured,No,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,No,No,Yes,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,Nutrition and Sociology ,Yes,Yes,None,500,High,0,0,0,Medium,5,None,48,High,Medium,Yes,No,Low,No Info,No,Yes,No,No,No,No,Low,915558,No,Yes,No,3,Medium,0,3,0.1,Yes,40,2.566666667,Peak,2 to 5,6.699346405,5.555555556,16.11111111,12.58169935,7.516339869,9.444444444,7.843137255,9.444444444,6.699346405,15.32679739,0,2.777777778,0,0,3
Company108,Success,2011,3,338,Analytics for sales decisions.,Analytics|E-Commerce|Marketing,"Marketing, Sales",Eric Kwan|Google Ventures|Kenny Van Zant|Franklyn Chien|Ryan Merket|Bobby Goodlatte|Yishan Wong|Brian McClendon|Charles River Ventures|Greylock Partners|New Enterprise Associates|Y Combinator|Gabor Cselle|George Zachary|Jim Young|Alison Rosenthal|Data Collective,12,9,No,1/1/2011,12/19/2013,175000,United States,North America,22,0,2,0,2,10,Yes,2,low,Yes,Large,Yes,Yes,No,Yes,Service,Yes,Private,No,Both,No,Cloud,Global,Linear,No,Few,No,No,No,Yes,No,Yes,No,Yes,No,No,Online,B2B,Low,High,Yes,High,Masters,21,Business management,Yes,Yes,Tier_2,500,High,1,0,0,Low,3,None,19,Medium,Medium,No,No,Low,No Info,No,No,Yes,No,No,No,Low,431282,Yes,No,Yes,2,Low,0,3.333333333,0.175,Not Applicable,6,6.483333333,Trough,2 to 5,20,0,10,10,0,0,0,10,0,0,0,0,0,0,4
Company111,Success,2010,4,361,Business Dashboards,Analytics,"operations, sales, marketing",Jerry Yang|Paul Buchheit|SV Angel|Y Combinator,8,0,No,8/1/2010,11/17/2010,500000,United States,North America,3,0,2,1,5,10,No,0,low,No,Medium,No,No,No,No,Both,Yes,Private,Yes,Structured,No,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,No,Yes,No,No,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,Electrical Engineering ,Yes,Yes,Tier_1,500,High,0,0,0,Low,0,None,13,Medium,Medium,Yes,No,Low,No Info,No,Yes,Yes,No,No,No,High,91162,No,Yes,No,3,Medium,5,2,0.5,Not Applicable,4,4,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company114,Success,2012,2,161,,Retail|Mobile,Marketing & Sales,TiE Angels|Hub Angels Investment Group|Jit Saxena|Rob Soni|John Simon|Gaugarin Oliver|Prakash Khot|LaunchCapital,21,5,No,1/1/2012,11/19/2012,1100000,United States,North America,8,0,0,0,4,50,No,0,low,Yes,Large,No,No,No,Yes,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Online,B2B,Medium,Medium,Yes,High,Masters,21,Entrepreneurship & Innovation ,Yes,Yes,Tier_1,500,High,0,0,1,None,2,None,25,Medium,Medium,Yes,No,Low,Good,No,No,Yes,No,No,No,Low,6864799,Yes,Yes,No,3,Medium,0,12,1.1,Not Applicable,10,10,Trigger,5 to 10,11.76470588,0,5.882352941,0,5.882352941,5.882352941,47.05882353,0,5.882352941,5.882352941,0,5.882352941,0,5.882352941,4
Company115,Success,2009,5,230,,Mobile|Marketing,Marketing & Sales,Chris DeVore|Tom Peterson|Aaron Bird|Founder's Co-op|Social Leverage|TechStars|Techstars|Howard Lindzon,8,0,No,1/1/2009,12/20/2012,650000,United States,North America,6,0,1,2,4,11,No,0,low,Yes,Large,No,No,No,No,Both,Yes,Public,Yes,Both,No,Platform,Global,Non-Linear,Yes,Few,No,No,No,Yes,No,No,Yes,No,Yes,No,Both,B2B,Medium,Medium,Yes,Low,Bachelors,18,Computer Science,Yes,Yes,Tier_1,500,Low,0,1,0,Low,1,None,16.5,Medium,Medium,Yes,No,Medium,No Info,No,No,Yes,No,No,No,Low,64262,Yes,Yes,Yes,3,Medium,0,2.75,0.65,Not Applicable,1,12,Trigger,5 to 10,6.25,0,81.25,0,0,0,6.25,6.25,0,0,0,0,0,0,2
Company117,Success,2011,3,528,Customer Experience Platform,Analytics|Marketing,"Marketing, Technology, Finance & Accounting, Customer service",Friends and Family|Jeremie Berrebi,12,0,No,12/1/2011,11/10/2013,750000,United States,North America,3,0,0,4,4,5,No,0,low,No,Small,Yes,Yes,No,Yes,Product,Yes,Both,Yes,Both,Yes,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,Yes,Yes,No,Online,B2B,None,High,Yes,High,Masters,21,"Marketing, Logistics & Distribution",Yes,Yes,None,500,High,0,0,0,None,8,None,14.5,Medium,Medium,Yes,No,Low,No Info,No,Yes,Yes,No,No,Yes,Low,194733,Yes,Yes,No,4,High,0,4,0.75,Not Applicable,24,6,Trough,2 to 5,0,0,9.090909091,36.36363636,0,9.090909091,27.27272727,9.090909091,0,9.090909091,0,0,0,0,5
